Block_number;Block_type;Trial_number;Trial_type;RT;Block_pleasure;Balance
1;False;1;miss;1.9923551082611084;4;0
1;False;2;near_miss;0.6760790348052979;4;0
1;False;3;miss;0.12390279769897461;4;0
1;False;4;miss;0.41570210456848145;4;0
1;False;5;miss;0.3006410598754883;4;0
1;False;6;near_miss;0.3103678226470947;4;0
1;False;7;near_miss;0.015891075134277344;4;0
1;False;8;near_miss;0.15343070030212402;4;0
1;False;9;miss;0.17989206314086914;4;0
1;False;10;win;0.4285240173339844;4;3
1;False;11;miss;0.07815217971801758;4;3
1;False;12;win;0.2479259967803955;4;6
1;False;13;miss;0.3324427604675293;4;6
1;False;14;miss;0.23667407035827637;4;6
1;False;15;win;0.2237560749053955;4;9
1;False;16;near_miss;0.25369787216186523;4;9
1;False;17;miss;0.16045880317687988;4;9
1;False;18;near_miss;0.12898898124694824;4;9
1;False;19;near_miss;0.14172601699829102;4;9
1;False;20;win;0.18972110748291016;4;12
1;False;21;near_miss;0.5562229156494141;4;12
1;False;22;miss;0.0513918399810791;4;12
1;False;23;near_miss;0.1785600185394287;4;12
1;False;24;miss;0.12294387817382812;4;12
1;False;25;win;0.519650936126709;4;15
1;False;26;miss;0.251007080078125;4;15
1;False;27;near_miss;0.032779693603515625;4;15
1;False;28;miss;0.23788976669311523;4;15
1;False;29;near_miss;0.1305222511291504;4;15
1;False;30;miss;0.39029407501220703;4;15
1;False;31;win;0.09387016296386719;4;18
1;False;32;miss;0.6901469230651855;4;18
1;False;33;miss;0.06430697441101074;4;18
1;False;34;miss;0.332597017288208;4;18
1;False;35;near_miss;0.008997201919555664;4;18
1;False;36;miss;0.18621087074279785;4;18
1;False;37;win;0.1958482265472412;4;21
1;False;38;win;1.0368373394012451;4;24
1;False;39;miss;0.3463459014892578;4;24
1;False;40;miss;0.47890424728393555;4;24
1;False;41;miss;0.07604789733886719;4;24
1;False;42;miss;0.44246435165405273;4;24
1;False;43;miss;0.19033384323120117;4;24
1;False;44;miss;0.048660993576049805;4;24
1;False;45;miss;0.37758421897888184;4;24
2;True;1;miss;;3;0
2;True;2;miss;;3;0
2;True;3;near_miss;;3;0
2;True;4;win;;3;3
2;True;5;near_miss;;3;3
2;True;6;near_miss;;3;3
2;True;7;miss;;3;3
2;True;8;miss;;3;3
2;True;9;win;;3;6
2;True;10;miss;;3;6
2;True;11;miss;;3;6
2;True;12;miss;;3;6
2;True;13;miss;;3;6
2;True;14;win;;3;9
2;True;15;near_miss;;3;9
2;True;16;win;;3;12
2;True;17;win;;3;15
2;True;18;win;;3;18
2;True;19;miss;;3;18
2;True;20;miss;;3;18
2;True;21;miss;;3;18
2;True;22;miss;;3;18
2;True;23;miss;;3;18
2;True;24;miss;;3;18
2;True;25;near_miss;;3;18
2;True;26;win;;3;21
2;True;27;win;;3;24
2;True;28;miss;;3;24
2;True;29;miss;;3;24
2;True;30;miss;;3;24
2;True;31;win;;3;27
2;True;32;near_miss;;3;27
2;True;33;miss;;3;27
2;True;34;miss;;3;27
2;True;35;near_miss;;3;27
2;True;36;win;;3;30
2;True;37;near_miss;;3;30
2;True;38;win;;3;33
2;True;39;win;;3;36
2;True;40;miss;;3;36
2;True;41;miss;;3;36
2;True;42;miss;;3;36
2;True;43;near_miss;;3;36
2;True;44;near_miss;;3;36
2;True;45;near_miss;;3;36
3;False;1;miss;6.604061126708984;5;0
3;False;2;miss;0.6146929264068604;5;0
3;False;3;miss;0.16046690940856934;5;0
3;False;4;win;0.5756161212921143;5;3
3;False;5;win;2.3175909519195557;5;6
3;False;6;win;1.4525120258331299;5;9
3;False;7;miss;0.17209291458129883;5;9
3;False;8;win;0.0013132095336914062;5;12
